"tendernedId","almanakId","cbsId","oin_nummer"
"42168990","22179","GM1680","1806300966000"
"30505231","38409","GM0358","1001900675000"
"21622843","35934","GM0059","1001949251000"
"151720132","29079","GM0482","1001918412000"
"421705862","35356","GM0613","1006825515000"
"22159309","38624","GM0361","1001721926000"
"3720748","26572","GM0141","1001584108000"
"162046567","28393","GM0034","1006462583000"
"322097992","34040","GM0484","1001490394000"
"511553815","28359","GM1723","1805640101000"
"14733777","24843","GM0060","1002017441000"
"451541026","35134","GM0307","1002508369000"
"30505231","28270","GM0362","1001900675000"
"122058560","37136","GM0003","1001220469000"
"24287678","32510","GM0202","1001825112000"
"341893957","23236","GM0106","1001587936000"
"3627499","30279","GM0743","1001600230000"
"41656317","22221","GM0744",
"581748559","35974","GM0308","1001739657000"
"421705862","29877","GM0489","1006825515000"
"212057263","27179","GM0203","1001831112000"
"432066986","21559","GM0889","1001567548000"
"71642466","21977","GM1724","1001902611000"
"511659779","30437","GM0748","1001725038000"
"561530631","36670","GM1859","1813585922000"
"92135357","33233","GM1721","1001160771000"
"301647183","28932","GM0753","1001902623000"
"33747876","27471","GM0209","1001094920000"
"131949539","29600","GM0375","1001999266000"
"71776506","29342","GM0063","1001613996000"
"21884631","35756","GM0310","1002313273000"
"18658294","30982","GM0585","1816963216000"
"181649074","33158","GM1728","1001902659000"
"262273306","35480","GM0377","1001999266000"
"41488068","26635","GM0755","1001160710000"
"181714819","21806","GM1681","1002119687000"
"491608985","25660","GM0147","1001888468000"
"1691165","30610","GM0756","1806385297000"
"54450390","31691","GM0757","1001708958000"
"53425143","34765","GM0758","1001336071000"
"51739469","23644","GM0501","1001911193000"
"552051844","36916","GM1876","1813647290000"
"592155624","40941","GM0213","1001046561000"
"56725331","24566","GM0899","1001733035000"
"501650484","32201","GM0312","1002691401000"
"49546205","28326","GM0313","1002508631000"
"111974862","40352","GM0214","1807287684000"
"31629320",,"GM0381",
"451579497","22846","GM0502","1001877045000"
"381945628","35518","GM0383","1810243428000"
"39686866","26491","GM0109","1806300917000"
"201654182","36285","GM1706","1001902660000"
"54674912","24529","GM0611","1006816150000"
"6133187","25165","GM1684","1802756803000"
"532179146","26183","GM0216","1001486809000"
"122152457","33564","GM1891","1001954805000"
"161660658","39076","GM0503","1001569417000"
"122058560","28652","GM0010","1001220469000"
"251662132","23937","GM0762","1001600278000"
"52675118","36571","GM0150","1001932469000"
"222586473","21518","GM0384","1001997233000"
"471690000","25432","GM1774","1809245206000"
"152017676","35200","GM0766","1001325978000"
"51682937","22362","GM0058","1006155315000"
"32681913","40563","GM0505","1817301409000"
"332196881","28022","GM0498","1815096288000"
"491599116","25896","GM1719","1805319141000"
"162046567","26889","GM0303","1006462583000"
"251867901","34358","GM0225","1001100415000"
"351999979","25008","GM1711","1001906483000"
"232171628","22102","GM0385","1001801338000"
"291616837","32407","GM0228","1001104524000"
"422068250","28693","GM1651","1009787471000"
"162053899","39523","GM1903","1823143910000"
"261529808","34435","GM0772","1001902763000"
"5854003","37170","GM0230","1001831124000"
"31443820","22781","GM0114","1001969316000"
"17705740","33494","GM0388","1001516619000"
"54685354","25100","GM0153","1001589623000"
"56720538","30232","GM0232","1001299992000"
"56341363","22253","GM0233","1001831136000"
"2657027","21760","GM0777","1805329468000"
